"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/34","170/9378",0.0294117647058824,8.11245674740484,5.64503248386231,0.000335436476596758,0.019021445300432,0.0139117884288874,"3481/2948/5578/60/5582",5
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","3/34","38/9378",0.0789473684210526,21.7755417956656,7.74061950923028,0.00033681918776716,0.019021445300432,0.0139117884288874,"5578/3291/5582",3
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","4/34","98/9378",0.0408163265306122,11.2581032412965,6.15759494506771,0.000408856845798724,0.019021445300432,0.0139117884288874,"5578/273/5582/3984",4
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/34","103/9378",0.0388349514563107,10.7115933752142,5.97801699042427,0.000494063514296936,0.019021445300432,0.0139117884288874,"9630/5578/1277/5582",4
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/34","204/9378",0.0245098039215686,6.76038062283737,5.01755218737611,0.000772040231413694,0.0237788391275418,0.0173912220550032,"3481/5578/60/1277/5582",5
