"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050767","regulation of neurogenesis","17/226","378/18860",0.044973544973545,3.75310202743831,5.95462240897367,3.3408705590019e-06,0.00998586210085669,0.00936850438861166,"SYNGAP1/MECP2/TIAM1/SMURF1/VSX2/EFNA5/SKI/AMIGO1/SEMA3G/NOS1/FXR2/QKI/OTP/BHLHE40/SRF/CLCF1/LIF",17
"GO:0051960","regulation of nervous system development","18/226","466/18860",0.0386266094420601,3.22344183220024,5.35230857605502,1.39142126521706e-05,0.0180924437711582,0.0169739114318696,"IQSEC2/SYNGAP1/MECP2/TIAM1/SMURF1/VSX2/EFNA5/SKI/AMIGO1/SEMA3G/NOS1/FXR2/QKI/OTP/BHLHE40/SRF/CLCF1/LIF",18
"GO:0008016","regulation of heart contraction","12/226","225/18860",0.0533333333333333,4.45073746312684,5.73454524445855,1.81590268696803e-05,0.0180924437711582,0.0169739114318696,"ADM2/GNAO1/ATP1B2/FKBP1A/POPDC2/NOS1/SCN2B/PRKACA/HBEGF/S100A1/ATP2B2/JUP",12
"GO:1903522","regulation of blood circulation","13/226","279/18860",0.046594982078853,3.88841310622641,5.3528783190927,3.38102246568047e-05,0.0252646903747973,0.0237027469699283,"ADM2/GNAO1/CASR/ATP1B2/FKBP1A/POPDC2/NOS1/SCN2B/PRKACA/HBEGF/S100A1/ATP2B2/JUP",13
"GO:0042551","neuron maturation","6/226","55/18860",0.109090909090909,9.10378117457764,6.62815850334909,4.91926063733091e-05,0.0294073400899642,0.0275892849217885,"MECP2/EPHA8/TBX6/SRRM4/FBXO41/CNTN2",6
"GO:0060047","heart contraction","12/226","265/18860",0.0452830188679245,3.77892803473034,5.01721428325897,8.90877353082589e-05,0.0443805401393977,0.0416367941861758,"ADM2/GNAO1/ATP1B2/FKBP1A/POPDC2/NOS1/SCN2B/PRKACA/HBEGF/S100A1/ATP2B2/JUP",12
"GO:0003015","heart process","12/226","275/18860",0.0436363636363636,3.64151246983105,4.85957437882765,0.00012632360181115,0.04891143725242,0.0458875768486017,"ADM2/GNAO1/ATP1B2/FKBP1A/POPDC2/NOS1/SCN2B/PRKACA/HBEGF/S100A1/ATP2B2/JUP",12
"GO:0050769","positive regulation of neurogenesis","11/226","235/18860",0.0468085106382979,3.90623234795707,4.93715346691952,0.000130910504523038,0.04891143725242,0.0458875768486017,"MECP2/TIAM1/SMURF1/EFNA5/AMIGO1/FXR2/QKI/OTP/SRF/CLCF1/LIF",11
