"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","9/112","115/9378",0.0782608695652174,6.55295031055901,6.58706117552495,8.74908192975133e-06,0.00198604159805355,0.00176823550580237,"846/5143/6258/4209/5566/1839/65266/408/5595",9
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","12/112","300/9378",0.04,3.34928571428571,4.54669893005265,0.000232973468536075,0.0264424886788446,0.0235425820836455,"9254/3481/2872/1946/777/2261/5566/2324/408/4804/5595/6722",12
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","5/112","56/9378",0.0892857142857143,7.47608418367347,5.34375786402952,0.000522461222756261,0.0305491368195722,0.0271988605117453,"57154/5566/23295/408/11127",5
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","10/112","238/9378",0.0420168067226891,3.51815726290516,4.32606510507818,0.000538310780961625,0.0305491368195722,0.0271988605117453,"8831/3481/7074/1946/2261/5566/2788/2324/4804/5595",10
