locus_id	gene	spearman_r	pvalue	padj
LNC_L00295	EPSTI1	-0.5987954620720757	0.0019913619133273327	0.2719908954788552
LNC_L00295	OCLN	0.7099216137756358	0.0001020021059080475	0.07860712748877055
LNC_L00295	CSMD1	0.5739987174770664	0.0033572631621502516	0.3298426490292227
LNC_L00295	NSG2	0.5454289288698942	0.005840490502406435	0.39060845489791834
LNC_L00295	CAMK2A	0.5012896798377942	0.012578993812364348	0.48277567956979567
LNC_L00295	BIRC3	-0.5425350332421696	0.006161096297650496	0.3963342436357309
LNC_L00295	CEP170B	0.620837012823195	0.0012068292627645549	0.22729519747135116
LNC_L00295	GDAP1L1	0.5149276559927274	0.010029444962935202	0.4573682865144973
LNC_L00295	AGBL3	0.5583859523616903	0.00457091136127385	0.367605551752534
LNC_L00295	CPNE6	0.5301781266405956	0.007700579892404349	0.4219722247051893
LNC_L00295	LY6H	0.5730803195291032	0.003420187241436218	0.3303727593894053
LNC_L00295	TNFAIP2	-0.5618896714214326	0.00427058742924921	0.35724391957375445
LNC_L00295	PAFAH2	0.5923920538408652	0.002288005828205139	0.2865830037849436
LNC_L00295	BEND7	0.5124660549635249	0.010454956859597422	0.46180673290237106
LNC_L00295	SLC38A6	-0.5510387687779837	0.005258681391374238	0.38287782922609886
LNC_L00295	KMT2D	0.5184619659661517	0.009443639496225665	0.4504632127671527
LNC_L00295	BSN	0.6210593676202059	0.0012005205345284767	0.2271255065324145
LNC_L00295	MLLT3	-0.5409431647449731	0.0063436415064799965	0.39879217086239455
LNC_L00295	ABLIM3	0.5084157437285834	0.011187507872867198	0.4684699208977291
LNC_L00295	PLIN2	-0.503283480610592	0.012176062666015135	0.4779591782269128
LNC_L00295	STXBP5	0.6692265354888058	0.00034880627519717403	0.13733570536811368
LNC_L00295	FLVCR1	0.5086480504318404	0.011144378002265524	0.4681524756231881
LNC_L00295	PHF21B	0.5133286791744076	0.01030417781062619	0.4609217933134009
LNC_L00295	AFAP1L1	-0.5041626178883498	0.012001803285471672	0.47666736452937136
LNC_L00295	RAB3C	0.6192798278849044	0.0012518121915676523	0.2295900089338052
LNC_L00295	PAQR6	0.5037211184198186	0.012089057182782177	0.47719962563613855
LNC_L00295	TNFAIP8L1	-0.552959683003715	0.005070991111303047	0.3780548628792769
LNC_L00295	CENPU	-0.5819674040793197	0.00285120095650662	0.31801661739422293
LNC_L00295	NPRL3	0.5023636775359285	0.012360606745437501	0.4812506100873499
LNC_L00295	NOX4	-0.5030621055909195	0.012220269502366602	0.4785560084842865
