"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098884","postsynaptic neurotransmitter receptor internalization","2/18","34/18860",0.0588235294117647,61.6339869281046,10.9372626176087,0.000473985114140162,0.0420266801204277,0.0329294921402639,"USP6/AP2B1",2
"GO:0099590","neurotransmitter receptor internalization","2/18","34/18860",0.0588235294117647,61.6339869281046,10.9372626176087,0.000473985114140162,0.0420266801204277,0.0329294921402639,"USP6/AP2B1",2
"GO:0140239","postsynaptic endocytosis","2/18","34/18860",0.0588235294117647,61.6339869281046,10.9372626176087,0.000473985114140162,0.0420266801204277,0.0329294921402639,"USP6/AP2B1",2
