"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","locus_id"
2.82158518683587,1.28137618399689,0.590644243207044,2.16945513095895,0.0300481473026713,0.516690399600647,"LNC_L00295"
2.89200308071518,1.26717625945592,0.60723493903935,2.08679734644486,0.0369064571143319,0.516690399600647,"LNC_L00022"
1.01798500639061,1.14492289718402,0.696087074956173,1.64479838568488,0.100011395204502,0.872246315207677,"LNC_L00038"
106.50197745178,0.179916415935252,0.130376574617389,1.37997501823657,0.167594336761978,0.872246315207677,"LNC_L00145"
4.91170013757786,0.582332819799962,0.471751578383267,1.23440566281869,0.217051779946353,0.872246315207677,"LNC_L00064"
1.48567990647931,-0.555924408262699,0.509059628827223,-1.09206147331589,0.27480608201878,0.872246315207677,"LNC_L00284"
157.065901768083,-0.199027345703468,0.186090677769482,-1.06951808703718,0.284836283240244,0.872246315207677,"LNC_L00245"
1.74298785702788,-0.586503607751073,0.562713649842629,-1.04227720069541,0.297283179578537,0.872246315207677,"LNC_L00250"
0.79487413915412,0.726712669112873,0.732209627450412,0.992492644003221,0.320957266039532,0.872246315207677,"LNC_L00299"
12.2211848364727,-0.201087720014568,0.218709927473974,-0.919426577188623,0.357872493318449,0.872246315207677,"LNC_L00200"
9.60544037305773,0.203968573259689,0.224949184266769,0.906731775554256,0.364548655702895,0.872246315207677,"LNC_L00197"
0.784338838370776,1.02881848629351,1.15683241850258,0.889340988235121,0.373819849374719,0.872246315207677,"LNC_L00224"
1.59392951179776,-0.395992008830619,0.479700553249307,-0.825498336719275,0.409088726602853,0.8804277635452,"LNC_L00198"
7.62073956297985,0.195991458584978,0.268336643420229,0.730393941307693,0.465149420705632,0.8804277635452,"LNC_L00320"
6.10116781943178,0.242785073277809,0.37977615891738,0.639284661706811,0.522637764788472,0.8804277635452,"LNC_L00189"
0.530228848606276,0.66261170611805,1.11218103454832,0.595776843458897,0.551324315301231,0.8804277635452,"LNC_L00091"
0.89539139910377,-0.3878450072975,0.673721627199377,-0.575675459476861,0.564834565787675,0.8804277635452,"LNC_L00170"
2.92073051739378,0.250938547574868,0.471991222448313,0.531659352208288,0.594961949373258,0.8804277635452,"LNC_L00214"
0.50489035577211,-0.662477122904941,1.35833300394997,-0.487713337582527,0.625752903174301,0.8804277635452,"LNC_L00088"
2.48604655256409,-0.205461880501075,0.478114384747692,-0.429733735389493,0.667389340397372,0.8804277635452,"LNC_L00037"
2.23740999436118,0.172202130089711,0.422263350794389,0.407807425782403,0.683415061441233,0.8804277635452,"LNC_L00154"
8.27856940955231,0.10691934696276,0.269684121746051,0.396461409261022,0.691764671356943,0.8804277635452,"LNC_L00123"
0.511284618382875,0.261567548511759,0.796739890918405,0.328297291868051,0.742686891590214,0.904140563675043,"LNC_L00146"
26.9397013805446,0.0396797112210212,0.236432380907004,0.167826890161159,0.866719467242139,0.98189847031827,"LNC_L00253"
1.28074024056945,0.0715871209606874,0.701998388082368,0.101976189940037,0.918775574217707,0.98189847031827,"LNC_L00336"
2.28550237738618,-0.0631726585761446,0.764131099525941,-0.082672539588215,0.934111920340156,0.98189847031827,"LNC_L00160"
2.8225876208956,-0.0118538582337497,0.484510684818491,-0.0244656281175521,0.980481200292181,0.98189847031827,"LNC_L00281"
1.05375082863263,-0.0209072717817233,0.921477827086827,-0.0226888495492288,0.98189847031827,0.98189847031827,"LNC_L00317"
