"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","3/17","76/9378",0.0394736842105263,21.7755417956656,7.74936796331053,0.000320540934220191,0.0137832601714682,0.0111345798202803,"123/2171/8310",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/17","38/9378",0.0526315789473684,29.0340557275542,7.37903531097866,0.0020925792077362,0.0449904529663282,0.0363447967659444,"54981/10135",2
