"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072203","cell proliferation involved in metanephros development","2/7","10/18860",0.2,538.857142857143,32.781542105894,5.30624425150863e-06,0.00201106657132177,0.000899268762624093,"PTCH1/MYC",2
"GO:0051782","negative regulation of cell division","2/7","16/18860",0.125,336.785714285714,25.8912951520944,1.41349816425939e-05,0.00267857902127155,0.00119775370760928,"PTCH1/MYC",2
"GO:0072111","cell proliferation involved in kidney development","2/7","22/18860",0.0909090909090909,244.935064935065,22.0590240387172,2.71809864016153e-05,0.00343386461540406,0.00153548730198599,"PTCH1/MYC",2
"GO:0016485","protein processing","3/7","248/18860",0.0120967741935484,32.5921658986175,9.64998940031193,7.56137559216267e-05,0.00716440337357413,0.00320363544825839,"DISP1/PTCH1/MYC",3
"GO:0001658","branching involved in ureteric bud morphogenesis","2/7","61/18860",0.0327868852459016,88.3372365339578,13.1648254792441,0.000213849448743228,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0060675","ureteric bud morphogenesis","2/7","67/18860",0.0298507462686567,80.4264392324094,12.5493882062856,0.000258098008526635,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072171","mesonephric tubule morphogenesis","2/7","68/18860",0.0294117647058824,79.2436974789916,12.4547620938629,0.000265872102696523,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072078","nephron tubule morphogenesis","2/7","76/18860",0.0263157894736842,70.9022556390977,11.7658162835998,0.000332161259349172,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0009880","embryonic pattern specification","2/7","78/18860",0.0256410256410256,69.0842490842491,11.6102387790172,0.000349869193657936,0.0107006035666857,0.00478488313910957,"DISP1/PTCH1",2
"GO:0072088","nephron epithelium morphogenesis","2/7","78/18860",0.0256410256410256,69.0842490842491,11.6102387790172,0.000349869193657936,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072028","nephron morphogenesis","2/7","80/18860",0.025,67.3571428571429,11.4604849281076,0.000368030407558072,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0061333","renal tubule morphogenesis","2/7","81/18860",0.0246913580246914,66.5255731922399,11.3876791846964,0.000377280841628789,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0001656","metanephros development","2/7","92/18860",0.0217391304347826,58.5714285714286,10.6662077636658,0.000486489217992524,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0009953","dorsal/ventral pattern formation","2/7","92/18860",0.0217391304347826,58.5714285714286,10.6662077636658,0.000486489217992524,0.0107006035666857,0.00478488313910957,"DISP1/PTCH1",2
"GO:0001657","ureteric bud development","2/7","98/18860",0.0204081632653061,54.9854227405248,10.324477806689,0.000551798384753197,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0060993","kidney morphogenesis","2/7","98/18860",0.0204081632653061,54.9854227405248,10.324477806689,0.000551798384753197,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072080","nephron tubule development","2/7","99/18860",0.0202020202020202,54.4300144300144,10.2705337378453,0.000563075956183635,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072163","mesonephric epithelium development","2/7","99/18860",0.0202020202020202,54.4300144300144,10.2705337378453,0.000563075956183635,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072164","mesonephric tubule development","2/7","99/18860",0.0202020202020202,54.4300144300144,10.2705337378453,0.000563075956183635,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0043279","response to alkaloid","2/7","100/18860",0.02,53.8857142857143,10.2173924248234,0.000574465568615188,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0001823","mesonephros development","2/7","103/18860",0.0194174757281553,52.3162274618585,10.0625896157125,0.000609306045167857,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0061326","renal tubule development","2/7","104/18860",0.0192307692307692,51.8131868131868,10.0124672190023,0.000621143214952733,0.0107006035666857,0.00478488313910957,"PTCH1/MYC",2
"GO:0072009","nephron epithelium development","2/7","122/18860",0.0163934426229508,44.1686182669789,9.21731782098225,0.000853260796872508,0.0140602540006383,0.00628718481906059,"PTCH1/MYC",2
"GO:0072073","kidney epithelium development","2/7","151/18860",0.0132450331125828,35.685903500473,8.24582880819109,0.00130248627381763,0.0205684290740368,0.00919738114406311,"PTCH1/MYC",2
"GO:0007224","smoothened signaling pathway","2/7","157/18860",0.0127388535031847,34.3221110100091,8.0787619743525,0.00140691331528821,0.0212909534391449,0.00952046522344765,"DISP1/PTCH1",2
"GO:0072006","nephron development","2/7","160/18860",0.0125,33.6785714285714,7.9987176603585,0.00146059311192023,0.0212909534391449,0.00952046522344765,"PTCH1/MYC",2
"GO:0048754","branching morphogenesis of an epithelial tube","2/7","166/18860",0.0120481927710843,32.4612736660929,7.8450793703631,0.00157087721900582,0.0220504617038224,0.00986008702767786,"PTCH1/MYC",2
