locus_id	SRR31451017	SRR31451018	SRR31451019	SRR31451020	SRR31451021	SRR31451022	SRR31451023	SRR31451024	SRR31451025	SRR31451026	SRR31451027	SRR31451028	SRR31451029	SRR31451030	SRR31451031	SRR31451032	SRR31451033	SRR31451034	SRR31451035	SRR31451036	SRR31451037	SRR31451038	SRR31451039	SRR31451040	SRR31451041	SRR31451042
LNC_L00001	1.3971916177868964e-08	1235.7252427205185	1158.9174084347853	732.3090773758383	0.03754395450684307	7.661951080380557	315.8884640379757	1.2492085790347354	59.62734563853085	636.1752218979484	803.1522667040468	75.182390204154	3.7951917732666933	0.004838504269115616	3623.9138800742685	10.43163333219778	2615.1709615327827	160.70083249749848	0.0060195071290258554	0.027722914571287685	392.2183986683125	42.15897369953139	886.7887031191793	0.03062147697778448	0.7494058390282915	2011.2062732248137
LNC_L00002	1065.9263952162469	0.0	819.5602909090734	805.3968931300473	1703.948377258435	0.0	1918.6468412542552	1766.6868035725145	712.8039027132425	0.0	1722.0000028975394	709.6742946334259	1514.3787815371195	646.3761338645403	1621.813406558397	0.0	0.0	0.0	0.0	1599.53815585215	0.0	0.0	1328.5212437094976	0.0	1453.9967314392009	813.0848801097968
LNC_L00003	1421.2351936216623	0.0	0.0	268.4656310433491	851.9741886292175	0.0	0.0	353.3373607145029	475.2026018088283	0.0	574.0000009658465	709.6742946334259	0.0	0.0	0.0	0.0	0.0	0.0	917.2269130038819	0.0	0.0	0.0	0.0	0.0	1453.9967314392009	0.0
LNC_L00005	0.0	864.1122129077469	3278.2411636362935	1879.2594173034438	851.9741886292175	0.0	959.3234206271276	2120.0241642870174	712.8039027132425	1590.9559440495748	0.0	709.6742946334259	1514.3787815371195	646.3761338645403	1621.813406558397	1569.8559184749033	0.0	1058.8122150352028	3668.9076520155268	799.769077926075	2287.704397183153	1837.77178772421	664.2606218547488	1381.1109712206078	0.0	0.0
LNC_L00006	1065.9263952162469	864.1122129077469	0.0	805.3968931300473	0.0	1478.7562697450753	1918.6468412542552	0.0	1287.007046565105	0.0	574.0000009658465	0.0	504.7929271790398	0.0	0.0	784.9279592374517	1169.5740776728462	0.0	917.2269130038819	799.769077926075	762.5681323943844	0.0	0.0	1381.1109712206078	0.0	1626.169760219594
LNC_L00007	1065.9263952162469	0.0	3278.241163636293	0.0	851.9741886292175	492.9187565816917	639.5489470847515	1060.0120821435087	950.4052036176566	0.0	0.0	0.0	0.0	0.0	0.0	1569.3448976681077	2338.386713888874	529.4061075176013	0.0	0.0	1525.1362647887688	0.0	0.0	460.3703237402026	0.0	813.0848801097968
LNC_L00009	1065.9263952162469	2592.3366387232413	9015.163199999806	268.4656310433491	0.0	2218.1344046176123	0.0	2826.698885716023	3326.4182126617993	0.0	1148.000001931693	4967.720062433982	2523.964635895199	2585.504535458161	4865.440219675192	3139.7118369498066	3508.72223301854	4235.24886014081	3668.9076520155268	3998.845389630376	2287.704397183153	6432.201257034735	3985.5637311284936	2762.2219424412156	4361.990194317603	813.0848801097968
LNC_L00010	0.0	0.0	0.0	536.9312620866982	851.9741886292175	0.0	0.0	0.0	950.4052036176566	0.0	0.0	1419.3485892668518	2019.1717087161592	0.0	810.9067032791985	0.0	0.0	1058.8122150352028	917.2269130038819	0.0	0.0	2756.6576815863154	1328.5212437094976	0.0	1453.9967314392009	813.0848801097968
LNC_L00012	1065.9263952162469	0.0	0.0	268.4656310433491	0.0	739.3781348725374	0.0	0.0	712.8039027132425	0.0	574.0000009658465	0.0	0.0	0.0	810.9067032791985	784.9279592374517	0.0	0.0	0.0	799.769077926075	0.0	0.0	0.0	1381.1109712206078	0.0	813.0848801097968
LNC_L00014	1421.2351936216623	2592.336638723242	2458.6808727272196	1879.2594173034433	851.9741886292177	2957.5125394901506	959.3234206271276	1413.3494428580116	1900.8104072353135	0.0	2296.000003863386	0.0	2523.9646358951995	1292.7522677290806	810.9067032791985	784.9279592374517	1169.5740776728462	0.0	1834.4538260077634	2399.3072337782255	2287.704397183153	3675.54357544842	0.0	3452.7774280515196	0.0	3252.3395204391877
LNC_L00015	0.0	0.0	819.5602909090734	268.4656310433491	0.0	0.0	959.3234206271276	0.0	712.8039027132425	0.0	574.0000009658465	0.0	0.0	0.0	0.0	0.0	0.0	1058.8122150352028	917.2269130038819	0.0	0.0	0.0	664.2606218547488	0.0	1453.9967314392009	0.0
LNC_L00016	1065.9263952162469	0.0	1639.1205818181468	805.3968931300473	851.9741886292175	1478.7562697450753	0.0	353.3373607145029	237.60130090441416	1590.9559440495748	574.0000009658465	0.0	504.7929271790398	1292.7522677290806	0.0	0.0	0.0	2117.624430070405	0.0	1599.53815585215	0.0	0.0	664.2606218547488	1381.1109712206078	0.0	0.0
LNC_L00017	532.9631976081234	864.1122129077469	0.0	536.9312620866982	851.9741886292175	739.3781348725374	0.0	1060.0120821435087	712.8039027132425	0.0	0.014581110627593518	0.0	1009.5858543580796	646.3761338645403	0.0	785.183469640849	1169.5740776728462	0.0	0.0	0.0	3049.9001818566417	0.0	2657.0424874189953	690.5554856103039	0.0	0.0
LNC_L00018	0.0	0.0	819.5602909090734	805.3968931300473	0.0	0.0	0.0	353.3373607145029	950.4052036176566	0.0	0.0	0.0	504.7929271790398	0.0	0.0	784.9279592374517	1169.5740776728462	0.0	917.2269130038819	799.769077926075	0.0	0.0	0.0	0.0	0.0	813.0848801097968
LNC_L00020	1776.543992027078	2592.336638723241	5736.922036363514	3221.587572520189	4259.870943146088	2957.5125394901506	7674.587365017021	4240.048328574035	4039.2221153750415	6363.823776198299	3444.000005795079	6387.068651700834	5047.929271790398	646.3761338645403	4054.5335163959917	3139.7118369498066	2339.1481553456924	2117.624430070405	2751.6807390116455	3998.845389630376	7625.681323943844	1837.77178772421	3985.5637311284936	3452.777428051519	4361.990194317604	5691.594160768578
LNC_L00021	1692.8533266839408	2592.336638723241	1639.1205818181468	1574.7294667374106	1703.948377258435	369.6890674362687	959.3234206271276	6.127410411211886	218.7748469644637	0.0	2583.000004346309	354.83714731671296	1009.5858543580796	2584.2420820717066	810.9067032791985	1569.8559184749033	0.0	0.0	917.2269130038819	2395.1978354402663	0.0	3675.54357544842	1328.5212437094976	4316.521394995681	2180.995097158802	813.0848801097968
